XinJiang,NeiMeng,ShanXi,HeNan,ShanDong,JiangXi,SiChuan,GuangXi,Full_AUC_XJ,Full_AUC_NM,Full_AUC_SX,Full_AUC_HN,Full_AUC_SD,Full_AUC_JX,Full_AUC_SC,Full_AUC_GX,Numb_missingCpGs,Name_missingCpGs,AUC_Loss_XJ,AUC_Loss_NM,AUC_Loss_SX,AUC_Loss_HN,AUC_Loss_SD,AUC_Loss_JX,AUC_Loss_SC,AUC_Loss_GX
0,1.0300382599455e-205,2.58999092862898e-319,6.48168618462198e-214,0,9.3299449122837e-114,0,1,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
5.11039547546229e-85,1.00621164300727e-74,1.27032746015191e-78,1.68468743200675e-09,6.93552970334003e-279,7.28427165768845e-21,9.52862978979647e-66,0.999999998315312,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
2.43636683302512e-269,1.58013601294733e-110,1.27213936135391e-91,2.37805346026701e-119,3.34398981929374e-69,1.64334305963791e-213,5.54055408207844e-89,1,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
4.57936715006707e-104,7.37655605284352e-251,2.31735873161378e-315,8.96303465766229e-78,0,2.08078721466706e-81,9.57855214702824e-295,1,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
1.20478016765741e-266,2.08408982553442e-105,8.62283167135718e-178,1.03732325955258e-24,1.23049485698574e-262,1.12860061697191e-80,1.25729972568979e-56,1,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
4.86613749616809e-140,3.57153161318021e-288,4.56632649279953e-280,2.80105871956236e-236,8.79890213328227e-204,1.02173187431623e-190,1.01957272125556e-242,1,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
4.25983820363013e-20,3.43599040348831e-124,8.8245645182492e-94,1.6455066549341e-102,5.39397716047566e-171,2.5957306519486e-23,5.64993074318256e-72,1,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
4.47871091602024e-254,5.356624717722e-278,0,9.41528569079692e-168,2.16313934371612e-208,6.10272351971854e-97,1.34125261999788e-231,1,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
8.1052489107187e-157,3.0795917790245e-145,2.80173721997186e-157,9.08151505530674e-164,9.15926620313698e-263,4.12675391923483e-97,4.27864774346105e-130,1,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
2.00615590552562e-283,7.94928503789162e-78,2.03294563538108e-175,1.2137880633927e-75,4.249090518413e-179,1.75711808273077e-16,6.31826255721504e-32,1,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
2.33740075759673e-286,1.97999879143901e-156,1.47146220142291e-141,1.59590014427418e-144,1.47524877817382e-164,4.23142973033615e-37,7.70376723028075e-64,1,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
2.66638306282916e-139,2.13541014720793e-221,7.13332066427366e-206,2.87924655592894e-164,5.7034010190576e-192,9.18414426066828e-175,4.2902221854018e-213,1,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
6.83386908005868e-251,3.50569746027834e-215,1.54711677407248e-109,1.36408208897766e-169,1.01275036577136e-175,8.82174800750959e-58,2.02128922977937e-118,1,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
7.91888606819418e-41,2.44062926075592e-272,4.43139873416244e-217,1.05135250095159e-157,0,1.09077939903357e-110,1.6400194306051e-34,1,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
1.78983641804087e-137,1.30944718089474e-316,2.55941075513992e-177,2.24662339877228e-229,0,1.94804403775597e-57,3.26819389631579e-196,1,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
4.6459871257219e-172,5.06664480189916e-256,7.01798709439914e-168,6.43474838009156e-109,0,5.4068498772553e-143,4.41370351390232e-243,1,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
0,4.43101791410226e-167,1.04854941803957e-188,4.8521838481439e-133,6.34360676754267e-79,3.75875107044053e-121,1.83897338263632e-145,1,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
0,1.48633105469712e-202,1.41257148795327e-244,3.20644224316444e-202,0,7.92242072745105e-304,1.72029877959598e-224,1,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
1.38483386731212e-153,9.55359766138882e-95,2.24918606237486e-181,4.4184874357563e-94,0,6.7112232927154e-61,1.53013752416979e-20,1,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
2.13725525550339e-238,6.48245327237195e-220,5.21105312272028e-113,2.47043914680352e-132,6.87529206756038e-162,3.32406096535549e-142,7.79271195834881e-19,1,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
0,7.44901211401115e-299,3.41529292775955e-235,7.59023118077409e-143,0,1.31287524255661e-270,7.34432264254637e-155,1,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
0,1.0598959177218e-254,2.20740138038894e-298,1.76769172176772e-150,7.14070014727349e-317,2.32556564166436e-142,1.98983266339735e-218,1,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
1.35661942733105e-75,2.36722686441576e-241,3.37454238524561e-141,4.06047456889435e-110,2.46535316522126e-152,6.66724953548684e-171,6.05387542900992e-226,1,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
1.52332913145889e-39,1.34797621636597e-88,4.17132503063506e-09,3.07106115894836e-80,2.13715612016784e-186,4.4554378934668e-46,1.87310887502995e-29,0.999999995828675,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
6.37441881517411e-12,1.49789714228013e-214,5.67813867678685e-141,1.06730961226382e-142,1.05812208342981e-197,7.6735753231229e-192,1.77947337386682e-214,0.999999999993626,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
3.72779842081722e-14,6.40864577037589e-87,2.83379958048753e-54,1.29302782046615e-135,4.69292053544649e-217,1.08621843577572e-92,3.32166792412285e-167,0.999999999999963,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0
